Course/Section,Section Title,Days Met,Start Time,End Time,Room,Instructor,Term,Status,Max Enrollment,Course Offering Id
ACCT 209/599 EXAM,SURVEY OF ACCT PRIN,F,7:00 PM,8:15 PM,,Foster,202411 (CS Spring) - View Only,Unassigned,900,10001
ACCT 209/599 EXAM,SURVEY OF ACCT PRIN,T,7:00 PM,8:15 PM,,Foster,202411 (CS Spring) - View Only,Unassigned,900,10001
ACCT 209/599 EXAM,SURVEY OF ACCT PRIN,T,7:00 PM,8:15 PM,,Foster,202411 (CS Spring) - View Only,Unassigned,900,10001
ACCT 209/599 LEC,SURVEY OF ACCT PRIN,,,,,Foster,202411 (CS Spring) - View Only,Incomplete,900,10001
ACCT 210/599 LEC,MGRL & COST ACCT PRIN,,,,,Farmer,202411 (CS Spring) - View Only,Incomplete,200,14103
ACCT 210/700 LEC,MGRL & COST ACCT PRIN,,,,,Farmer,202411 (CS Spring) - View Only,Incomplete,20,47045
ACCT 229/200 EXAM,HNR-INTRO ACCOUNTING,T,7:15 PM,9:00 PM,,Knoop,202411 (CS Spring) - View Only,Unassigned,0,10003
ACCT 229/200 EXAM,HNR-INTRO ACCOUNTING,T,7:15 PM,9:00 PM,,Knoop,202411 (CS Spring) - View Only,Unassigned,0,10003
ACCT 229/200 EXAM,HNR-INTRO ACCOUNTING,T,7:15 PM,9:00 PM,,Knoop,202411 (CS Spring) - View Only,Unassigned,0,10003
ACCT 229/200 LEC,HNR-INTRO ACCOUNTING,TR,12:45 PM,2:00 PM,WCBA 462,Knoop,202411 (CS Spring) - View Only,Scheduled,0,10003
ACCT 229/201 EXAM,HNR-INTRO ACCOUNTING,T,7:15 PM,9:15 PM,,Knoop,202411 (CS Spring) - View Only,Unassigned,0,27382
ACCT 229/201 EXAM,HNR-INTRO ACCOUNTING,T,7:15 PM,9:15 PM,,Knoop,202411 (CS Spring) - View Only,Unassigned,0,27382
ACCT 229/201 EXAM,HNR-INTRO ACCOUNTING,T,7:15 PM,9:15 PM,,Knoop,202411 (CS Spring) - View Only,Unassigned,0,27382
ACCT 229/201 LEC,HNR-INTRO ACCOUNTING,TR,9:35 AM,10:50 AM,WCBA 462,Knoop,202411 (CS Spring) - View Only,Scheduled,0,27382
ACCT 229/202 EXAM,HNR-INTRO ACCOUNTING,T,7:15 PM,9:00 PM,,Knoop,202411 (CS Spring) - View Only,Unassigned,0,34562
