Course Name,Department,CourseNum,SectionNum,Days,StartTime,EndTime,Asynch
SURVEY OF ACCT PRIN,ACCT,209,599,,,,True
MGRL & COST ACCT PRIN,ACCT,210,599,,,,True
MGRL & COST ACCT PRIN,ACCT,210,700,,,,True
HNR-INTRO ACCOUNTING,ACCT,229,200,TR,12:45 PM,2:00 PM,False
HNR-INTRO ACCOUNTING,ACCT,229,201,TR,9:35 AM,10:50 AM,False
HNR-INTRO ACCOUNTING,ACCT,229,202,TR,11:10 AM,12:25 PM,False
INTRO ACCOUNTING,ACCT,229,501,MW,8:00 AM,9:15 AM,False
INTRO ACCOUNTING,ACCT,229,502,MW,9:35 AM,10:50 AM,False
INTRO ACCOUNTING,ACCT,229,503,MW,11:10 AM,12:25 PM,False
INTRO ACCOUNTING,ACCT,229,504,TR,8:00 AM,9:15 AM,False
INTRO ACCOUNTING,ACCT,229,505,MW,12:45 PM,2:00 PM,False
INTRO ACCOUNTING,ACCT,229,506,TR,12:45 PM,2:00 PM,False
INTRO ACCOUNTING,ACCT,229,507,TR,2:20 PM,3:35 PM,False
INTRO ACCOUNTING,ACCT,229,508,TR,3:55 PM,5:10 PM,False
INTRO ACCOUNTING,ACCT,229,509,TR,12:45 PM,2:00 PM,False
INTRO ACCOUNTING,ACCT,229,510,TR,11:10 AM,12:25 PM,False
INTRO ACCOUNTING,ACCT,229,511,TR,2:20 PM,3:35 PM,False
HNR-INTRO ACCOUNTING,ACCT,230,201,MW,12:45 PM,2:00 PM,False
INTRO ACCOUNTING,ACCT,230,501,MW,11:30 AM,12:20 PM,False
INTRO ACCOUNTING,ACCT,230,502,MW,10:20 AM,11:10 AM,False
PROF DEVELOPMENT SEMINAR,ACCT,321,500,TR,5:30 PM,6:45 PM,False
PROF DEVELOPMENT SEMINAR,ACCT,321,500,R,8:00 AM,5:00 PM,False
PROF DEVELOPMENT SEMINAR,ACCT,321,500,W,8:00 AM,5:00 PM,False
PROF DEVELOPMENT SEMINAR,ACCT,321,500,F,8:00 AM,5:00 PM,False
PROF DEVELOPMENT BBA,ACCT,322,500,TR,3:55 PM,5:20 PM,False
FINANCIAL REPORTING I,ACCT,327,500,MW,8:00 AM,9:15 AM,False
FINANCIAL REPORTING I,ACCT,327,501,MW,9:35 AM,10:50 AM,False
FINANCIAL REPORTING I,ACCT,327,502,MW,11:10 AM,12:25 PM,False
FINANCIAL REPORTING I,ACCT,327,503,TR,8:00 AM,9:15 AM,False
FINANCIAL REPORTING I,ACCT,327,504,TR,9:35 AM,10:50 AM,False
FINANCIAL REPORTING I,ACCT,327,505,TR,11:10 AM,12:25 PM,False
FINANCIAL REPORTING I,ACCT,327,506,MWF,12:40 PM,1:30 PM,False
FINANCIAL REPORTING I,ACCT,327,507,MWF,1:50 PM,2:40 PM,False
FINANCIAL REPORTING I,ACCT,327,508,MWF,3:00 PM,3:50 PM,False
FINANCIAL REPORTING I,ACCT,327,509,TR,8:00 AM,9:15 AM,False
FINANCIAL REPORTING I,ACCT,327,510,TR,9:35 AM,10:50 AM,False
FINANCIAL REPORTING II,ACCT,328,501,MW,9:35 AM,10:50 AM,False
FINANCIAL REPORTING II,ACCT,328,502,MW,11:10 AM,12:25 PM,False
FINANCIAL REPORTING II,ACCT,328,503,MW,12:45 PM,2:00 PM,False
FINANCIAL REPORTING II,ACCT,328,504,TR,8:00 AM,9:15 AM,False
FINANCIAL REPORTING II,ACCT,328,505,TR,9:35 AM,10:50 AM,False
FINANCIAL REPORTING II,ACCT,328,506,TR,11:10 AM,12:25 PM,False
FINANCIAL REPORTING II,ACCT,328,507,TR,12:45 PM,2:00 PM,False
FINANCIAL REPORTING II,ACCT,328,508,TR,2:20 PM,3:35 PM,False
FINANCIAL REPORTING II,ACCT,328,509,MW,2:20 PM,3:35 PM,False
FINANCIAL REPORTING II,ACCT,328,510,TR,3:55 PM,5:10 PM,False
FINANCIAL REPORTING II,ACCT,328,511,MW,3:55 PM,5:10 PM,False
COST MGMT & ANALYSIS,ACCT,329,501,R,12:45 PM,2:00 PM,False
COST MGMT & ANALYSIS,ACCT,329,501,,,,True
INCOME TAX,ACCT,405,501,TR,2:20 PM,3:35 PM,False
INCOME TAX,ACCT,405,502,TR,3:55 PM,5:10 PM,False
INCOME TAX,ACCT,405,503,MW,11:10 AM,12:25 PM,False
INCOME TAX,ACCT,405,504,MW,9:35 AM,10:50 AM,False
INCOME TAX,ACCT,405,505,MW,12:45 PM,2:00 PM,False
INCOME TAX,ACCT,405,506,MW,2:20 PM,3:35 PM,False
INCOME TAX,ACCT,405,507,MW,3:55 PM,5:10 PM,False
AUDITING,ACCT,407,901,TR,2:20 PM,3:35 PM,False
AUDITING,ACCT,407,902,TR,3:55 PM,5:10 PM,False
INTERNAL AUDITING,ACCT,408,501,TR,11:10 AM,12:25 PM,False
FRAUD EXAMINATION,ACCT,410,500,MW,9:35 AM,10:50 AM,False
FRAUD EXAMINATION,ACCT,410,500,TR,9:35 AM,10:50 AM,False
ACCT & FIN INFO SYSTEMS,ACCT,427,501,F,8:00 AM,10:00 AM,False
ACCT & FIN INFO SYSTEMS,ACCT,427,502,F,10:30 AM,12:30 PM,False
ACCT & FIN INFO SYSTEMS,ACCT,427,503,F,1:30 PM,3:30 PM,False
ACCT & FIN INFO SYSTEMS,ACCT,427,504,MW,9:35 AM,10:50 AM,False
ACCT & FIN INFO SYSTEMS,ACCT,427,505,MW,11:10 AM,12:25 PM,False
ACCT & FIN INFO SYSTEMS,ACCT,427,506,MW,12:45 PM,2:00 PM,False
INTERNATIONAL ACCT,ACCT,445,599,,,,True
FINANCIAL STMNT ANALYSIS,ACCT,447,500,MW,12:45 PM,2:00 PM,False
ACCOUNTING ETHICS,ACCT,450,501,MW,3:00 PM,4:55 PM,False
ACCOUNTING ETHICS,ACCT,450,501,TR,9:35 AM,10:50 AM,False
ACCOUNTING ETHICS,ACCT,450,502,MW,3:00 PM,4:55 PM,False
ACCOUNTING ETHICS,ACCT,450,502,TR,9:35 AM,10:50 AM,False
ACCOUNTING INTERNSHIP,ACCT,484,501,,,,True
ACCOUNTING INTERNSHIP: IN-AB,ACCT,484,551,,,,True
