Course Name,Department,CourseNum
SURVEY OF ACCT PRIN,ACCT,209
MGRL & COST ACCT PRIN,ACCT,210
HNR-INTRO ACCOUNTING,ACCT,229
HNR-INTRO ACCOUNTING,ACCT,230
PROF DEVELOPMENT SEMINAR,ACCT,321
PROF DEVELOPMENT BBA,ACCT,322
FINANCIAL REPORTING I,ACCT,327
FINANCIAL REPORTING II,ACCT,328
COST MGMT & ANALYSIS,ACCT,329
INCOME TAX,ACCT,405
AUDITING,ACCT,407
INTERNAL AUDITING,ACCT,408
FRAUD EXAMINATION,ACCT,410
ACCT & FIN INFO SYSTEMS,ACCT,427
INTERNATIONAL ACCT,ACCT,445
FINANCIAL STMNT ANALYSIS,ACCT,447
ACCOUNTING ETHICS,ACCT,450
ACCOUNTING INTERNSHIP,ACCT,484
SPTP: COMMUNICATION SKILLS,ACCT,489
FINANCIAL REPORTING II,ACCT,602
INCOME TAX,ACCT,605
SEMINAR IN AUDITING,ACCT,607
INTERNAL AUDITING,ACCT,608
CONTEMPORARY TAX TOPICS,ACCT,615
MGMT ACCT & CONTROL,ACCT,620
ACCT CON & PROCEDURE I,ACCT,640
CONTROL AUDIT INFO SYSTM,ACCT,644
INTERNATIONAL ACCOUNTING,ACCT,646
FINANCIAL STMNT ANALYSIS,ACCT,647
ACCOUNTING ETHICS,ACCT,650
TAX RESEARCH & POLICY,ACCT,680
PROF INTERNSHIP,ACCT,684
DIRECTED STUDIES,ACCT,685
DOCTORAL SEMINAR,ACCT,688
SPTP: ACCT DATA ANALYTICS,ACCT,689
RESEARCH,ACCT,691
CLINICAL DENTISTRY III,AEGD,602
PRACTICE MANAGEMENT I,AEGD,604
ADV FIXED PROSTHODONTICS,AEGD,607
TRTMT PLANNING CONFERENCE III,AEGD,617
CURRENT LITERATURE REVIEW III,AEGD,620
ADV REST DENT DIGITAL TECH,AEGD,626
SPTP: ADV CLINICAL ENDO II,AEGD,689
HNR-INTRO TO FLIGHT,AERO,201
HNR-AERO ENGR MECHANICS,AERO,211
HNR-INTRO TO AEROTHERMODYNM,AERO,212
HNR-INTRO AERO MECH OF MATLS,AERO,214
HNR-INTRO AERO COMPUTATION,AERO,222
RESEARCH,AERO,291
MID-CURR PROF DEVELOPMENT,AERO,299
HNR-THEORETICAL AERODYN,AERO,301
HNR-HIGH SPEED AERODYN,AERO,303
HNR-AERO STRUCTURAL ANALYS I,AERO,304
AERO STRUCTURAL ANALY II,AERO,306
AERO ENGR LAB,AERO,307
AEROSPACE DYNAMICS,AERO,310
HNR-DYN OF AERO VEHICLES,AERO,321
AEROTHERMO PROPULSION,AERO,351
AERO DESIGN PRINCIPLES,AERO,401
AERO SYSTEMS DESIGN,AERO,402
MECH ADV AERO STRUCTURES,AERO,404
AERO MATERIALS SCIENCE,AERO,413
COMP FLUID DYN AERO APPS,AERO,415
ACT CONTR FOR AERO VEH,AERO,422
HNR-ORBITAL MECHANICS,AERO,423
NUMERICAL SIMULATION,AERO,430
HUMAN SPACEFLIGHT OPERATIONS,AERO,451
HNR-EAT TRANS VISC FLOWS,AERO,452
SPTP: MACHINE LEARNING AERO,AERO,489
HNR-RESEARCH,AERO,491
THEORY OF FLUID MECH,AERO,602
NANOMECHANICS,AERO,608
COMP FLUID DYNAMICS AERO APPL,AERO,615
SPACECRAFT MANEUVERS,AERO,623
CELESTIAL MECHANICS,AERO,624
EST OF DYNAMIC SYSTEMS,AERO,626
DESIGN ADV FLT CTL SYS,AERO,632
HIGH-PERFORMANCE CFD,AERO,643
HUMAN SPACEFLIGHT OPERATIONS,AERO,651
OPTICAL METHODS FOR AERO,AERO,661
SYSTEMS ANALYSIS,AERO,666
SEMINAR: TOPIC: COMMUNICATION,AERO,681
PROFESSIONAL INTERNSHIP,AERO,684
DIRECTED STUDIES,AERO,685
SPTP: INTRO AERO GRADUATE MAT,AERO,689
RESEARCH,AERO,691
HERITAGE & VALUES II,AERS,102
AFROTC LEADERSHIP LAB II,AERS,106
TEAM & LDRSHIP FUNDAMENTALS II,AERS,202
LEADERSHIP & COMMUNICATION II,AERS,304
NATL SECURITY AFFAIRS,AERS,404
